name;address_country;address_city;address_full;contact_phone;contact_fax;contact_website;juridicInfos_nature;juridicInfos_creationYear;juridicInfos_juridicForm;juridicInfos_activity;juridicInfos_capital;juridicInfos_effectif;Logo_link;products_0;products_1;products_2;products_3;dirigeants_0_name;dirigeants_0_funtion;dirigeants_1_name;dirigeants_1_funtion;dirigeants_2_name;dirigeants_2_funtion;dirigeants_3_name;dirigeants_3_funtion;dirigeants_4_name;dirigeants_4_funtion;dirigeants_5_name;dirigeants_5_funtion;dirigeants_6_name;dirigeants_6_funtion;dirigeants_7_name;dirigeants_7_funtion;partner_0_name;partner_0_type;partner_1_name;partner_1_type;partner_2_name;partner_2_type;partner_3_name;partner_3_type;partner_4_name;partner_4_type;partner_5_name;partner_5_type;partner_6_name;partner_6_type;partner_7_name;partner_7_type;partner_8_name;partner_8_type;partner_9_name;partner_9_type;partner_10_name;partner_10_type
Casagora;Maroc;20040 Casablanca;"9; rue La Bruyère; bd. El Hank n°2";+212 5 22 27 42 79;;; Siège;1999.0;S.a.r.l.;Tissage (1320);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maille City;Maroc;20660 Casablanca;"zone indus. BenM'Sik Sidi Othman; lot. 143";+212 5 22 72 62 14;;; Siège;1995.0;S.a.r.l.;Fabrication industrielle de vêtements de dessus (1414);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maroc Biais;Maroc;20510 Casablanca;"315; bd Chefchaouni; q.ind. Sidi Bernoussi";+212 5 22 66 41 11;;; Siège;1995.0;S.a.r.l.;Tissage (1320);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Archi Concept Studio;Maroc;21490 Casablanca;"6; rue Abou Omar El Harit -ex Oslo";+212 5 22 83 80 16;;; Siège;2006.0;;Activités d'ingénierie (7112);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afrique Moule;Maroc;20380 Casablanca;"24; rue Ibn Habous";+212 5 22 98 40 01;;; Siège;1990.0;S.a.r.l.;Fabrication de machines pour le travail du caoutchouc ou des plastiques (2896);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chaussures le Tubulaire;Maroc;20370 Casablanca;"5; rue Caïd El Achtar - ex Girondins";+212 5 22 23 67 93;;; Siège;1981.0;S.a.r.l.;Fabrication manufacturière de chaussures (1521);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
King (maroquinerie);Maroc;20050 Casablanca;"quartier Lissasfa (route d'El Jadida); lotiss. Sidi Omar n° 15";+212 5 22 89 38 56;;; Siège;1990.0;S.a.r.l.;"Fabrication d'articles de voyage; de maroquinerie et de sellerie (1513)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maxelle Création;Maroc;20070 Casablanca;"20; rue Abdellah Guennoun -ex Nièvre";+212 6 66 86 82 26;;; Siège;1992.0;S.a.r.l.;Fabrication manufacturière de chaussures (1521);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sté de Développement et de Confection;Maroc;20150 Casablanca;"lot. Zakaria; rue 8 n°33-35";+212 5 22 50 37 09;;; Siège;1974.0;S.a.r.l.;Fabrication industrielle de vêtements de dessus (1414);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allumage Bobine;Maroc;20250 Casablanca;"232; route Zenata";+212 5 22 35 79 27;;; Siège;1980.0;S.a.r.l.;"Fabrication de moteurs; génératrices et transformateurs électriques (2711)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schardt;Maroc;20290 Casablanca;"16; rue d' Alésia";+212 5 22 40 30 76;;; Siège;2000.0;S.a.r.l.;"Fabrication d'articles de voyage; de maroquinerie et de sellerie (1513)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guépard;Maroc;20580 Casablanca;"2; bd Haj Ahmed Mekouar -ex C.Caillat";+212 5 22 35 16 81;;; Siège;1982.0;S.a.r.l.;Fabrication industrielle de vêtements de dessus (1414);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kiranko;Maroc;20380 Casablanca;"12; rue Cadi Bakkar - ex Serpolet";+212 5 22 25 93 08;;; Siège;1976.0;S.a.r.l.;Fabrication industrielle de vêtements de dessus (1414);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B.s.a. Maroc;Maroc;20250 Casablanca;"4; rue Ard El Ouafa; bd grande ceinture; Ain Sébaa";+212 5 22 35 53 24;;; Siège;1981.0;Société anonyme;Fabrication manufacturière de chaussures (1521);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carriage;Maroc;20070 Casablanca;"16; rue El Houcine ben Ali -ex Murdoch";+212 5 22 26 90 42;;; Siège;1987.0;S.a.r.l.;Fabrication de machines pour les industries textiles (2894);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Blue Bird;Maroc;20660 Casablanca;"128; zone indus. BenM'Sik Sidi Othman";+212 5 22 70 19 08;;; Siège;1982.0;S.a.r.l.;Fabrication industrielle de vêtements de dessus (1414);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comptoir Universel de la Machine à Coudre;Maroc;20070 Casablanca;"20; rue El Guernaoui El Mokhtar -ex Novo";+212 5 22 26 14 98;;; Siège;1987.0;S.a.r.l.;Fabrication de machines pour les industries textiles (2894);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quatro Confection;Maroc;20660 Casablanca;"zone indus. BenM'Sik Sidi Othman; lot. 129";+212 5 22 70 05 65;;; Siège;1987.0;S.a.r.l.;Fabrication de vêtements de travail (1412);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sté Industrielle Afandi de la Garniture Automobile;Maroc;Casablanca;"342; rue Ahmed Sebbagh";+212 5 22 28 61 74;;; Siège;1972.0;S.a.r.l.;"Fabrication d'articles textiles; sauf habillement (1392)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lagrainitex;Maroc;20570 Casablanca;"191; bd de la Grande Ceinture (h.Mohammadi)";+212 5 22 62 03 59;;; Siège;1988.0;S.a.r.l.;Fabrication industrielle de vêtements de dessus (1414);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jacquesther;Maroc;20660 Casablanca;"zone indus. BenM'Sik Sidi Othman; rue 3; lot. n°110";+212 5 22 70 00 15;;; Siège;1989.0;15;Fabrication industrielle de vêtements de dessus (1414);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Real Chaussures;Maroc;20250 Casablanca;"11; avenue Khalid Bnou Loualid; Aïn Sebaâ";+212 5 22 34 33 21;;; Siège;1993.0;S.a.r.l.;Fabrication manufacturière de chaussures (1521);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Freemod;Maroc;20660 Casablanca;"zone indus. BenM'Sik Sidi Othman; lot. 13 lotiss. Khaldia";+212 5 22 71 71 71;;; Siège;1993.0;S.a.r.l.;Fabrication industrielle de vêtements de dessus (1414);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Magi Plast;Maroc;Casablanca;"3; rue Attabib; bd Ghandi";+212 5 22 23 03 48;;; Siège;2008.0;S.a.r.l.;Fabrication manufacturière de chaussures (1521);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sté Délocalisation Assistance Technique au Maroc;Maroc;20250 Casablanca;bd Al Kimiaa -ex Mouloud Ben Bihi Ali;+212 5 22 34 18 58;;; Siège;1993.0;S.a.r.l.;Fabrication d'autres vêtements et accessoires (1419);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fil de l'Atlantique;Maroc;Casablanca;"14; passage des Oulad Ziane";+212 5 22 54 24 57;;; Siège;;S.a.r.l.;Préparation de fibres textiles et filature (1310);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Textiles d'ElJadida;Maroc;20000 Casablanca;"passage des Oulad Ziane; mag.14";+212 5 22 54 24 57;;; Siège;1978.0;S.a.r.l.;Tissage (1320);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technica Textile Internationale;Maroc;20020 Casablanca;"19; bd de Bordeaux; résid. ElHouda";+212 5 22 26 22 89;;; Siège;1993.0;S.a.r.l.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Broderie Geniale;Maroc;20460 Casablanca;"lotiss. Mouna; rue 10 n°19";+212 5 22 50 09 09;;; Siège;1993.0;S.a.r.l.;Fabrication artisanale d'articles textiles (1393);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soumitex;Maroc;20320 Casablanca;rue du Soldat Emile Brunet ang. rue Amyote d'inville Ain Borja;+212 5 22 62 15 00;;; Siège;1991.0;S.a.r.l.;Fabrication industrielle de vêtements de dessus (1414);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecole Supmod de Modélisme et de Stylisme;Maroc;20000 Casablanca;"8; bd Khouribga; 1°ét.";+212 5 22 30 92 09;;; Siège;1991.0;S.a.r.l.;Fabrication artisanale de vêtements traditionnels (1415);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wafa Fil;Maroc;20110 Casablanca;"6; rue Mohamed Laaroussi -ex Bascunana";+212 5 22 31 81 38;;; Siège;1987.0;S.a.r.l.;Préparation de fibres textiles et filature (1310);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dematex;Maroc;20330 Casablanca;"8; rue des Causses";+212 5 22 23 21 09;;; Siège;1988.0;15;Fabrication d'autres vêtements et accessoires (1419);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chaussures Tuc;Maroc;20200 Casablanca;"84; rue Wouroude-ex Roses";+212 5 22 39 28 11;;; Siège;1988.0;S.a.r.l.;Fabrication manufacturière de chaussures (1521);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Décoration Matisse;Maroc;20050 Casablanca;"4; rue Ain Yefren -ex Thimonier";+212 5 22 29 60 07;;; Siège;1993.0;Affaire personnelle;"Fabrication d'articles textiles; sauf habillement (1392)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kind Maille;Maroc;20480 Casablanca;"19; bd de Baghdad";+212 5 22 50 16 55;;; Siège;1993.0;S.a.r.l.;Fabrication de machines pour les industries textiles (2894);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sacs Al Madina;Maroc;20000 Casablanca;"9; rue de Thann; 1°ét. bd Rahal";+212 6 61 76 38 85;;; Siège;2017.0;S.a.r.l.;"Fabrication d'articles textiles; sauf habillement (1392)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomad In Distribution;Maroc;20450 Casablanca;"zone indus. BenM'Sik Sidi Othman; n°1 rue 2 rdc.";+212 5 22 71 33 13;;; Siège;2003.0;S.a.r.l.;"Fabrication d'articles textiles; sauf habillement (1392)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prodeo Maghreb;Maroc;Casablanca;"bd Oued Oum Errabia; lotiss. Wiam; Wafa 3; imm.22 loc 5";+212 5 22 90 69 00;;; Siège;2010.0;S.a.r.l.;"Fabrication de ficelles; cordes et filets (1394)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pazken;Maroc;Casablanca;"zone indus. BenM'Sik Sidi Othman; rue 3; lotissement 135";+212 5 22 70 89 89;;; Siège;2009.0;S.a.r.l.;Fabrication de vêtements de dessous (1416);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dala Machine;Maroc;20590 Casablanca;"bd Chefchaouni;km 8;5 cplex. Chefchaouni 2°ét. imm.D appt.8 z.i <br/> Ain Sebaâ";+212 5 22 67 41 49;;; Siège;1998.0;S.a.r.l.;Fabrication de machines pour les industries textiles (2894);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gold Brod;Maroc;20470 Casablanca;"hay Anigrit (h. Rmila); rue 25 n°2";+212 5 22 50 36 36;;; Siège;1998.0;S.a.r.l.;Fabrication artisanale d'articles textiles (1393);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z.k. textile;Maroc;20220 Casablanca;"Lot. Missimi; rue 5 n°5";+212 5 22 91 31 49;;; Siège;1998.0;S.a.r.l.;Fabrication industrielle de vêtements de dessus (1414);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salmacom;Maroc;20670 Casablanca;"hay Moulay Rachid II - ex Bournazel; 47 rue 7 Bournazel";+212 5 22 70 48 39;;; Siège;2001.0;S.a.r.l.;Fabrication d'autres vêtements et accessoires (1419);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Raiss Confection;Maroc;20590 Casablanca;"478; bd de la Grande Ceinture (A.Sebaa); 2°ét.";+212 5 22 34 11 85;;; Siège;2017.0;S.a.r.l.;Commerce de gros d'habillement et de chaussures (4642);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ouahnoun & Bouskila;Maroc;20110 Casablanca;"301; bd Mohammed VI -ex Strasbourg";+212 5 22 30 31 58;;; Siège;1952.0;Sté de fait;Fabrication d'autres textiles techniques et industriels (1396);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tuyauto s.a. (siège);Maroc;20320 Casablanca;"162; bd Moulay Ismaïl";+212 5 22 24 54 60;;; Siège;1961.0;Société anonyme;Fabrication d'autres équipements automobiles (2932);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Les Merveilles d'Ameublement;Maroc;20000 Casablanca;"31; rue Lahcen Souhail -ex Pellé";+212 5 22 31 02 09;;; Siège;1991.0;S.a.r.l.;"Fabrication d'articles textiles; sauf habillement (1392)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jonction;Maroc;20200 Casablanca;"35; rue Chakaïk Annouamane - ex Iris";+212 5 22 36 53 82;;; Siège;1992.0;S.a.r.l.;Fabrication d'autres vêtements et accessoires (1419);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sam Textile & Confection;Maroc;20480 Casablanca;"hay El Osra 2; rue 50 n°175/177";+212 5 22 50 40 40;;; Siège;1991.0;S.a.r.l.;Fabrication industrielle de vêtements de dessus (1414);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La Chevêche;Maroc;20590 Casablanca;"route 110 (bd Chefchaouni); km 11;500";+212 5 22 35 80 72;;; Siège;1991.0;S.a.r.l.;Fabrication artisanale d'articles textiles (1393);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonneterie de l'Atlas;Maroc;20660 Casablanca;"zone indus. BenM'Sik Sidi Othman; lot. 103";+212 5 22 71 33 00;;; Siège;1991.0;S.a.r.l.;Fabrication d'articles chaussants à mailles (1431);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oceane de Production;Maroc;20660 Casablanca;"93; zone indus. BenM'Sik Sidi Othman";+212 5 22 70 19 39;;; Siège;1990.0;S.a.r.l.;Fabrication industrielle de vêtements de dessus (1414);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tannerie de Boujaad;Maroc;20320 Casablanca;"4; rue Rachid Réda";+212 5 22 61 88 14;;; Siège;1994.0;15;Apprêt et tannage des cuirs (1511);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tissages Rapides;Maroc;20660 Casablanca;"zone indus. BenM'Sik Sidi Othman; lot 10 et 11 rue 2";+212 5 22 70 05 08;;; Siège;1979.0;S.a.r.l.;Fabrication d'articles chaussants à mailles (1431);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Orson;Maroc;20060 Casablanca;"53; rue Mustapha Manfalouti -ex Malherbe";+212 5 22 27 27 35;;; Siège;1961.0;S.a.r.l.;Fabrication industrielle de vêtements de dessus (1414);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ets Tremolède;Maroc;20310 Casablanca;"5; rue d' Epernay";+212 5 22 30 53 48;;; Siège;1944.0;Société anonyme;Fabrication manufacturière de chaussures (1521);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dollytex;Maroc;20250 Casablanca;"route 110 (bd Chefchaouni) km 11.500; Mahaj Lachgar n°20";+212 5 22 35 78 51;;; Siège;1984.0;S.a.r.l.;Fabrication de vêtements de travail (1412);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atlantiss;Maroc;20280 Casablanca;"rte de Bouskoura(c.t.1029) ; Oulad Haddou; Sidi Maârouf";+212 5 22 33 50 01;;; Siège;1982.0;S.a.r.l.;Fabrication d'articles chaussants à mailles (1431);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Texti-Pull;Maroc;20660 Casablanca;"zone indus. BenM'Sik Sidi Othman; lotiss. Khalidia;°8";+212 5 22 70 01 44;;; Siège;1999.0;S.a.r.l.;Fabrication d'articles chaussants à mailles (1431);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Denim-house;Maroc;20460 Casablanca;"lot. Zakaria; 42-44 rue 8";+212 5 22 52 63 14;;; Siège;1998.0;S.a.r.l.;Fabrication d'autres vêtements et accessoires (1419);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cargese;Maroc;20480 Casablanca;"lot. Elhamra II; rue 2 n°34 hay Chrifa";+212 5 22 21 09 45;;; Siège;1997.0;S.a.r.l.;Fabrication manufacturière de chaussures (1521);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cabitex;Maroc;20460 Casablanca;"lot. Zakaria; n°17-19; rue 8";+212 5 22 50 48 70;;; Siège;1996.0;S.a.r.l.;Fabrication industrielle de vêtements de dessus (1414);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frou Frou;Maroc;20050 Casablanca;"11; rue Abou El Kacem Kotbari -ex Chevr.";+212 5 22 47 53 89;;; Siège;1994.0;S.a.r.l.;Fabrication de vêtements de dessous (1416);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wow Jean's;Maroc;Casablanca;"zone indus. Moulay Rachid; lot 110";+212 6 12 27 35 29;;; Siège;1985.0;Société anonyme;Fabrication d'autres vêtements et accessoires (1419);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afrade;Maroc;20000 Casablanca;"15; bd Mohammed V";+212 5 22 22 13 10;;; Siège;1985.0;;Fabrication d'autres textiles techniques et industriels (1396);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manufacture Artisanale de Chaussures;Maroc;20380 Casablanca;"87; rue Cadi Bakkar - ex Serpolet";+212 5 22 23 19 26;;; Siège;1980.0;S.a.r.l.;Fabrication manufacturière de chaussures (1521);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manifil;Maroc;20190 Casablanca;"route 1077 par route d'El Jadida; Km 8 z.i.Lissasfa";+212 5 22 91 44 89;;; Siège;1975.0;Société anonyme;Préparation de fibres textiles et filature (1310);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sté Nouvelle Marco de Confection;Maroc;20580 Casablanca;"rue El Haouza - ex E; q.i. Oukacha";+212 5 22 35 40 27;;; Siège;1980.0;S.a.r.l.;Fabrication de vêtements de travail (1412);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chaussures Scali;Maroc;20000 Casablanca;"85; bd Mohammed V";+212 5 22 27 31 23;;; Siège;1974.0;S.a.r.l.;"Fabrication d'articles de voyage; de maroquinerie et de sellerie (1513)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Griff Color;Maroc;20250 Casablanca;"route 110 (bd Chefchaouni); km 11;500 bât.6; z.i.";+212 5 22 66 27 12;;; Siège;1995.0;S.a.r.l.;Ennoblissement textile (1330);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manufactures Générales de Textiles;Maroc;20600 Casablanca;"route 110 (bd Chefchaouni); km 11;500; q.i.";+212 5 22 35 14 31;;; Siège;1974.0;S.a.r.l.;"Fabrication d'articles textiles; sauf habillement (1392)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Confection Textile Arabe;Maroc;20250 Casablanca;"39; rue Jillali Ghafiri; Aïn Sebaâ";+212 5 22 35 44 86;;; Siège;1989.0;S.a.r.l.;Tissage (1320);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Textile Berrechid;Maroc;20000 Casablanca;"14; rue Bouchaib ElMachrouhi -ex Pas De Calais";+212 5 22 30 13 24;;; Siège;1986.0;S.a.r.l.;Tissage (1320);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cie Intérafricaine pour le Développement Industriel et Commercial;Maroc;20370 Casablanca;"28; rue Brahim Nakhai - ex Mont Cinto";+212 5 22 25 06 11;;; Siège;1965.0;S.a.r.l.;Fabrication industrielle de vêtements de dessus (1414);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Beverley Hills;Maroc;20220 Casablanca;"226; bd Oued Moulouya; grp. I";+212 5 22 90 28 58;;; Siège;1989.0;S.a.r.l.;"Fabrication d'articles de voyage; de maroquinerie et de sellerie (1513)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bermaille;Maroc;20570 Casablanca;"5; bd du Fouarat; hay Mohammadi";+212 5 22 60 17 15;;; Siège;1990.0;S.a.r.l.;Fabrication industrielle de vêtements de dessus (1414);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Compagnie Industrielle de Bonneterie;Maroc;20000 Casablanca;"z.i.. Attaoufik ; ct. 1029";+212 5 22 58 21 80;;; Siège;1946.0;S.a.r.l.;Fabrication industrielle de vêtements de dessus (1414);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manatress;Maroc;20300 Casablanca;"rue Ibn Sarah; lot.2 &amp; 24; Ain Borja";+212 5 22 61 89 74;;; Siège;1975.0;S.a.r.l.;Fabrication d'autres textiles techniques et industriels (1396);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Compagnie Générale de la Chaussure;Maroc;20250 Casablanca;"235; av de la Plage (Aïn Sebâa)";+212 5 22 35 56 34;;; Siège;1976.0;Société anonyme;Fabrication manufacturière de chaussures (1521);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La chapelière du Maghreb;Maroc;20100 Casablanca;"18; rue Attarmidi; Maârif";+212 5 22 25 06 22;;; Siège;1976.0;Affaire personnelle;Fabrication d'autres vêtements et accessoires (1419);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Robitex;Maroc;20590 Casablanca;"route Zenata; km 10;600";+212 5 22 35 09 76;;; Siège;1987.0;S.a.r.l.;Fabrication industrielle de vêtements de dessus (1414);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Compagnie Chérifienne d'Emballages en Papier;Maroc;20580 Casablanca;"84; bd Moulay Slimane";+212 5 22 35 43 59;;; Siège;1942.0;Société anonyme;Fabrication de papier et carton ondulés et d'emballages en papier ou en carton (1721);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Créations K2R;Maroc;20000 Casablanca;"62; rue Moha ou Hamou; rdc";+212 5 22 30 58 48;;; Siège;1989.0;S.a.r.l.;Ennoblissement textile (1330);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maroc Fil;Maroc;20280 Casablanca;"Ouled Haddou rte. de Bouskoura; Sidi Maârouf";+212 5 22 33 51 58;;; Siège;1980.0;S.a.r.l.;Préparation de fibres textiles et filature (1310);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Labboz Cuirs;Maroc;20060 Casablanca;"4; place Bel Air";+212 5 22 26 20 95;;; Siège;1989.0;S.a.r.l.;Fabrication de vêtements en cuir (1411);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Planète Machines Textiles;Maroc;20220 Casablanca;"hay Saada - ex Mazola (q. Aviation); av. C n°28-30";+212 5 22 91 55 18;;; Siège;1996.0;S.a.r.l.;Fabrication de machines pour les industries textiles (2894);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flou By Shadia;Maroc;20330 Casablanca;"191; bd Mohamed Zerktouni; C. Com. Twin Cent.; local 116; rdc";+212 5 22 95 80 69;;; Siège;1998.0;S.a.r.l.;Fabrication industrielle de vêtements de dessus (1414);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vêtements Confectionnés Lahrichi;Maroc;20200 Casablanca;"22; lotiss. Batoul; z.i. km 9";+212 5 22 93 09 83;;; Siège;1976.0;Affaire personnelle;Fabrication d'articles chaussants à mailles (1431);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brodfashion;Maroc;20400 Casablanca;"hay Rakbout; rue 12 n°8; Douma";+212 5 22 70 19 14;;; Siège;1998.0;S.a.r.l.;Fabrication artisanale d'articles textiles (1393);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mounytex;Maroc;Casablanca;"lot. Azhari II; rue 81 n° 65";+212 5 22 91 11 30;;; Siège;1996.0;S.a.r.l.;Fabrication industrielle de vêtements de dessus (1414);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Société Industrielle de Bonneterie et de Chaussettes;Maroc;20200 Casablanca;"route 1077 par route d'El Jadida; z.i. Lissasfa";+212 5 22 90 10 46;;; Siège;1989.0;S.a.r.l.;Fabrication d'articles chaussants à mailles (1431);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
